n266286,P11531,0.010593880330800392
n343363,P11531,0.011858545419402018
n417452,P11531,0.012426534925150157
n265007,P11531,0.012728695390715403
n283662,P11531,0.013145369597523925
n413674,P11531,0.013450350114798164
n290625,P11531,0.013574246179268555
n268366,P11531,0.01367144396818252
n267386,P11531,0.01383806693046228
n416644,P11531,0.013956041710856373
n413910,P11531,0.014717463820375691
n267141,P11531,0.014810501031583777
n415292,P11531,0.014819355135080953
n417921,P11531,0.014955212741315864
n294316,P11531,0.015135647888060948
n277358,P11531,0.015149049228577833
n414322,P11531,0.016419501896187256
n282401,P11531,0.016715442408677096
n264581,P11531,0.01776966341948135
n423277,Q9JKF1,0.017897789237673063
n423898,Q9JKF1,0.018596762300005357
n422923,Q9JKF1,0.018743675208297866
n285761,P11531,0.0188328249513385
n415906,Q9JKF1,0.019151457946213764
n297172,P11531,0.019204856618940204
n422824,Q9JKF1,0.01928770546038415
n423451,Q9JKF1,0.019328155020360834
n2110,Q9JKF1,0.019538664364919973
n423077,Q9JKF1,0.02015867696360987
n423095,Q9JKF1,0.020216293172072654
n272576,P11531,0.020342830825712133
n424058,P11531,0.020813100683753777
n295076,P11531,0.021087728390235108
n413798,Q9JKF1,0.021193424984110892
n343468,P11531,0.02180461417266312
n266286,P08775,0.021912370988295217
n2156,Q9JKF1,0.021971096654443065
n423862,Q9JKF1,0.02211524806028001
n414631,Q9JKF1,0.02220644407377218
n287094,P11531,0.02257336144084685
n343059,P97440,0.022837685386959353
n5789,Q9JKF1,0.022938093629358912
n413315,P11531,0.023030273334844174
n342977,P11531,0.023039858360072222
n417452,P08775,0.02318276922786311
n422222,Q9JKF1,0.023204695110631498
n293443,P11531,0.02333360821032036
n418868,Q9JKF1,0.02356223068407276
n272999,P11531,0.023788696720925456
n279850,P11531,0.023820402423226653
n290625,P08775,0.023843260621484803
n293082,P11531,0.02384929124964531
n294814,P11531,0.02414736123972529
n343537,P11531,0.024390346852419816
n343059,Q62241,0.02444599660786731
n266286,Q8R1B4,0.02454011113675706
n290852,P11531,0.025343088197487068
n423538,Q9JKF1,0.02540727252435153
n271462,P11531,0.025498490571155205
n290674,P11531,0.025592408109888554
n290625,P97433,0.025783373946861945
n423837,P11531,0.025832699578127543
n281201,P11531,0.026103282580368814
n285153,P11531,0.026110537149759847
n423074,Q9JKF1,0.026113157512349813
n266286,P97433,0.02619994512451605
n266286,Q99NB9,0.02629642595213974
n274266,P55099,0.026455790772561105
n417452,P97433,0.026508927478084386
n263537,P11531,0.026532010610723362
n343363,P97433,0.026660627417427626
n412471,P11531,0.02673533194000858
n423095,Q91Z31,0.02673927510675477
n343086,P11531,0.026764616171298744
n417452,Q99NB9,0.027025215262528803
n423277,Q91Z31,0.02716928764491083
n290625,Q8R1B4,0.027206674005842625
n415394,P11531,0.027271110215103478
n292255,P11531,0.027615797262348318
n293984,P11531,0.02765604544215308
n264461,P55099,0.027666799293792788
n267386,P08775,0.027920158107799114
n289292,P11531,0.027949791648282058
n267141,P08775,0.027952237275629527
n292173,P11531,0.02803056791245656
n417799,P11531,0.028119966620962424
n265007,P08775,0.028195114418811864
n343363,Q8R1B4,0.028314181269805512
n343687,P97440,0.028439863290702215
n296763,P11531,0.028578531482351375
n412699,P11531,0.028707467151340316
n275106,Q62241,0.02873293385582292
n423077,Q91Z31,0.028994904545920165
n417452,Q8R1B4,0.02911340651372198
n413819,Q9JKF1,0.02913705619268343
n422923,Q91Z31,0.029157061961397467
n272838,P11531,0.02928412785651252
n422824,Q91Z31,0.029315330158447866
n265007,Q8R1B4,0.029436448302535036
n267386,P97433,0.029602971214852267
n267141,P97433,0.029632347393718055
n342983,P11531,0.029758650959848486
n282629,P11531,0.02979008115728626
n2156,Q91Z31,0.029901798295231416
n343363,P08775,0.02998180711256378
n274266,P11531,0.030019149577485298
n414631,Q91Z31,0.030036547556453345
n268366,P08775,0.030055843541172328
n291161,P11531,0.030140344233104008
n290625,Q99NB9,0.030157542816561654
n264065,P11531,0.03019611881763415
n413674,Q8R1B4,0.030225414335087773
n267386,Q8R1B4,0.03025675615922524
n413798,Q91Z31,0.03037703446172137
n2110,Q91Z31,0.030767567630843096
